year	author	classes	packages
2013	jglick	29	13
2013	bodewig	3	1
2013	bodewig	1	1
2013	bodewig	1	1
2013	bodewig	2	1
2013	bodewig	1	1
2013	bodewig	3	1
2013	bodewig	1	1
2013	jglick	10	3
2013	antoine	3	3
2013	antoine	3	2
2013	antoine	13	3
2013	antoine	1	1
2013	antoine	1	1
2013	mclarke	7	1
2013	mclarke	1	1
2013	bodewig	2	1
2013	bodewig	1	1
2013	jglick	1	1
2013	jglick	1	1
2013	jglick	2	1
2013	jglick	1	1
2013	jglick	4	1
2013	jglick	1	1
2013	jglick	4	1
2013	antoine	14	1
2013	antoine	6	5
2013	antoine	3	3
2013	bodewig	1	1
2013	antoine	1	1
2013	bodewig	1	1
2013	bodewig	1	1
2013	antoine	1	1
2013	antoine	2	1
2013	antoine	1	1
2013	antoine	1	1
2013	bodewig	5	2
2013	bodewig	1	1
2013	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	3	2
2012	bodewig	16	2
2012	hibou	3	1
2012	hibou	2	2
2012	hibou	2	1
2012	hibou	2	1
2012	mbenson	89	16
2012	hibou	1	1
2012	hibou	1	1
2012	mbenson	78	16
2012	mbenson	29	5
2012	mbenson	1	1
2012	mbenson	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	hibou	2	2
2012	hibou	2	2
2012	hibou	2	2
2012	bodewig	1	1
2012	jglick	1	1
2012	hibou	1	1
2012	hibou	1	1
2012	hibou	1	1
2012	hibou	4	1
2012	hibou	1	1
2012	jglick	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	8	2
2012	bodewig	7	3
2012	bodewig	11	2
2012	hibou	2	2
2012	bodewig	2	1
2012	bodewig	16	1
2012	bodewig	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jkf	1	1
2012	jkf	1	1
2012	jkf	135	43
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	jglick	2	2
2012	jglick	3	2
2012	jglick	79	12
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	1	1
2012	jglick	2	2
2012	jglick	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	1	1
2012	bodewig	3	3
2012	bodewig	1	1
2012	bodewig	1	1
2012	jglick	1	1
2011	jglick	2	2
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	2	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	jglick	1	1
2011	bodewig	2	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	2	2
2011	mbenson	1	1
2011	jglick	2	2
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	hibou	1	1
2011	hibou	1	1
2011	jglick	2	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	hibou	1	1
2011	hibou	1	1
2011	hibou	1	1
2011	antoine	1	1
2011	antoine	3	2
2011	bodewig	1	1
2011	bodewig	2	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	mbenson	1	1
2011	hibou	1	1
2011	hibou	1	1
2011	bodewig	1	1
2011	antoine	1	1
2011	maartenc	1	1
2011	bodewig	1	1
2011	bodewig	50	19
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	bodewig	1	1
2011	antoine	1	1
2011	jglick	1	1
2011	bodewig	3	1
2011	antoine	3	2
2010	maartenc	1	1
2010	antoine	1	1
2010	antoine	1	1
2010	bodewig	1	1
2010	antoine	5	4
2010	bodewig	1	1
2010	bodewig	1	1
2010	bodewig	1	1
2010	bodewig	1	1
2010	bodewig	2	2
2010	bodewig	1	1
2010	bodewig	1	1
2010	bodewig	6	4
2010	bodewig	28	13
2010	bodewig	3	2
2010	bodewig	1	1
2010	bodewig	1	1
2010	bodewig	1	1
2010	hibou	1	1
2010	hibou	3	3
2010	bodewig	1	1
2010	bodewig	2	2
2010	bodewig	2	2
2010	hibou	1	1
2010	hibou	1	1
