version	package	cbo	aff	eff	lcom	mf	cs
1.1.0	com.oreilly.servlet	0	0	0	-0.0	0.0	1
1.1.0	org.apache.tools.ant.taskdefs	2	0	15	0.9822775263951734	0.376	-1250
1.1.0	org.apache.tools.ant	0	45	0	0.9123112659698026	0.6651982378854625	-615
1.1.0	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.2.0	org.apache.tools.ant	1	97	2	0.913968547641073	0.5391304347826087	-771
1.2.0	org.apache.tools.ant.taskdefs	4	12	28	0.9816338524831032	0.4288164665523156	-3195
1.2.0	org.apache.tools.ant.taskdefs.optional	3	0	10	1.0	0.0	-3
1.2.0	org.apache.tools.ant.taskdefs.optional.ejb	3	0	8	0.7142857142857143	0.5853658536585366	3
1.2.0	org.apache.tools.ant.taskdefs.optional.javacc	3	0	11	1.0	0.0	-1
1.2.0	org.apache.tools.ant.taskdefs.optional.jlink	3	0	6	0.6666666666666666	0.5714285714285714	0
1.2.0	org.apache.tools.ant.taskdefs.optional.jsp	3	0	8	NaN	0.0	0
1.2.0	org.apache.tools.ant.taskdefs.optional.metamata	3	0	11	NaN	0.0	0
1.2.0	org.apache.tools.ant.taskdefs.optional.perforce	2	0	2	NaN	0.0	0
1.2.0	org.apache.tools.ant.taskdefs.optional.vss	3	0	10	0.5	0.1111111111111111	1
1.2.0	org.apache.tools.ant.types	1	45	5	0.8406593406593407	0.327683615819209	-43
1.2.0	org.apache.tools.mail	0	1	0	-0.0	0.8	1
1.2.0	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.3.0	org.apache.tools.ant	2	103	3	0.9196428571428571	0.5526315789473685	-860
1.3.0	org.apache.tools.ant.taskdefs	6	6	40	0.9822954822954822	0.43478260869565216	-3861
1.3.0	org.apache.tools.ant.taskdefs.compilers	3	1	13	0.7619047619047619	0.3125	-1
1.3.0	org.apache.tools.ant.types	2	48	8	0.8801169590643275	0.36936936936936937	-103
1.3.0	org.apache.tools.ant.util	2	10	4	0.8928571428571429	0.3	-16
1.3.0	org.apache.tools.ant.util.regexp	1	1	1	0.75	0.5	0
1.3.0	org.apache.tools.mail	0	1	0	0.6666666666666666	0.8	1
1.3.0	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.4.0	org.apache.tools.ant	2	143	8	0.9349726775956284	0.5112781954887218	-1434
1.4.0	org.apache.tools.ant.listener	1	0	5	NaN	0.0	0
1.4.0	org.apache.tools.ant.taskdefs	9	18	55	0.9865403788634097	0.4223463687150838	-6729
1.4.0	org.apache.tools.ant.taskdefs.compilers	3	1	14	0.8363636363636363	0.34951456310679613	-19
1.4.0	org.apache.tools.ant.taskdefs.condition	2	3	6	0.75	0.6923076923076923	-10
1.4.0	org.apache.tools.ant.taskdefs.rmic	4	1	12	0.7619047619047619	0.3508771929824561	-3
1.4.0	org.apache.tools.ant.types	2	73	9	0.9166666666666666	0.3412969283276451	-218
1.4.0	org.apache.tools.ant.util	3	16	6	0.9166666666666666	0.24489795918367346	-24
1.4.0	org.apache.tools.ant.util.regexp	1	1	1	0.75	0.5	0
1.4.0	org.apache.tools.mail	0	1	0	0.6666666666666666	0.8	1
1.4.0	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.4.0	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.4.0	org.apache.tools.ant.taskdefs.optional	1	0	1	NaN	0.0	0
1.4.1	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.4.1	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.4.1	org.apache.tools.ant.util.regexp	1	1	1	0.75	0.5	0
1.4.1	org.apache.tools.ant.util	3	17	6	0.9027777777777778	0.2692307692307692	-22
1.4.1	org.apache.tools.ant	2	143	8	0.9349726775956284	0.5112781954887218	-1434
1.4.1	org.apache.tools.ant.types	2	73	9	0.9166666666666666	0.3412969283276451	-218
1.4.1	org.apache.tools.ant.taskdefs	9	18	55	0.9865403788634097	0.421875	-6729
1.4.1	org.apache.tools.ant.taskdefs.condition	2	3	6	0.75	0.6923076923076923	-10
1.4.1	org.apache.tools.ant.taskdefs.rmic	4	1	12	0.7619047619047619	0.3508771929824561	-3
1.4.1	org.apache.tools.ant.taskdefs.compilers	3	1	14	0.8363636363636363	0.34951456310679613	-19
1.4.1	org.apache.tools.ant.listener	1	0	5	NaN	0.0	0
1.4.1	org.apache.tools.mail	0	1	0	0.6666666666666666	0.8	1
1.4.1	org.apache.tools.ant.taskdefs.optional	1	0	1	NaN	0.0	0
1.5.0	org.apache.tools.ant	6	212	18	0.9268617021276596	0.32967032967032966	-860
1.5.0	org.apache.tools.ant.filters	5	3	8	0.8830409356725146	0.7017543859649122	-97
1.5.0	org.apache.tools.ant.filters.util	4	4	12	1.0	0.0	-1
1.5.0	org.apache.tools.ant.helper	2	1	13	0.5	0.5833333333333334	12
1.5.0	org.apache.tools.ant.input	1	4	1	0.65	0.56	4
1.5.0	org.apache.tools.ant.listener	3	0	5	1.0	0.0	-1
1.5.0	org.apache.tools.ant.taskdefs	15	21	92	0.9901131126937579	0.3969722455845248	-11583
1.5.0	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.5.0	org.apache.tools.ant.taskdefs.condition	3	16	7	0.8516483516483516	0.5625	-43
1.5.0	org.apache.tools.ant.taskdefs.cvslib	4	0	16	0.8555555555555555	0.5306122448979592	-19
1.5.0	org.apache.tools.ant.taskdefs.email	3	1	9	0.6333333333333333	0.5789473684210527	5
1.5.0	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.5.0	org.apache.tools.ant.types	5	121	43	0.9404761904761905	0.2976190476190476	-498
1.5.0	org.apache.tools.ant.types.selectors	4	3	14	0.8815384615384615	0.6363636363636364	-191
1.5.0	org.apache.tools.ant.util	5	59	8	0.968421052631579	0.1875	-170
1.5.0	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.5.0	org.apache.tools.ant.util.regexp	1	3	2	0.75	0.43478260869565216	0
1.5.0	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.5.0	org.apache.tools.mail	0	2	0	0.75	0.75	0
