version	cbo	aff	eff	lcom	mq	evm
EVM	4.24	5.29	5.80	0.39	72.41	778
EVM	4.62	5.78	5.99	0.40	75.13	767
EVM	4.64	5.77	5.97	0.41	73.99	757
EVM	4.46	5.55	5.90	0.41	73.33	765
EVM	4.70	5.91	5.95	0.40	74.07	776
EVM	4.27	5.41	5.76	0.40	71.70	776
EVM	4.54	5.71	5.90	0.40	75.38	779
EVM	4.37	5.48	5.81	0.42	71.68	777
EVM	4.41	5.50	5.93	0.41	73.19	770
EVM	4.47	5.68	5.92	0.40	75.75	781
EVM	4.70	5.97	5.83	0.40	74.38	779
EVM	4.43	5.50	5.94	0.41	73.30	769
EVM	4.40	5.50	5.92	0.40	74.23	780
EVM	4.43	5.58	5.83	0.40	72.35	784
EVM	4.50	5.70	5.86	0.41	73.78	776
EVM	4.58	5.86	5.82	0.41	73.69	781
EVM	4.39	5.51	5.88	0.40	72.56	771
EVM	4.35	5.46	5.86	0.40	73.55	770
EVM	4.33	5.44	5.85	0.42	71.58	773
EVM	4.32	5.41	5.83	0.40	73.99	779
EVM	4.40	5.46	5.89	0.40	73.37	779
EVM	4.61	5.85	5.84	0.41	73.14	776
EVM	4.59	5.82	5.84	0.41	72.89	779
EVM	4.58	5.78	5.93	0.40	75.13	770
EVM	4.43	5.63	5.83	0.41	72.61	775
EVM	4.49	5.62	5.90	0.41	73.68	775
EVM	4.40	5.54	5.87	0.41	73.91	777
EVM	4.39	5.50	5.99	0.40	75.57	781
EVM	4.64	5.88	5.86	0.41	73.13	745
EVM	4.83	6.08	5.88	0.38	75.10	773						
MQ	7.74	10.48	8.65	0.46	101.53	287
MQ	7.99	10.77	8.83	0.47	98.43	266
MQ	7.88	10.55	8.67	0.46	102.92	307
MQ	7.63	10.37	8.59	0.46	101.89	296
MQ	7.80	10.43	8.72	0.46	102.23	294
MQ	7.69	10.46	8.55	0.45	102.28	313
MQ	7.62	10.29	8.49	0.45	102.90	312
MQ	7.62	10.35	8.66	0.46	102.51	292
MQ	7.83	10.54	8.61	0.46	100.58	285
MQ	7.82	10.45	8.68	0.45	101.86	281
MQ	7.91	10.49	8.72	0.45	102.12	299
MQ	7.92	10.80	8.70	0.46	99.21	245
MQ	7.88	10.61	8.67	0.46	102.37	298
MQ	7.81	10.48	8.78	0.46	101.63	282
MQ	7.52	10.11	8.59	0.45	102.58	288
MQ	7.75	10.47	8.71	0.46	101.94	286
MQ	7.53	10.25	8.69	0.46	102.70	305
MQ	8.06	10.87	8.92	0.47	99.21	274
MQ	7.65	10.50	8.57	0.45	102.26	283
MQ	7.91	10.59	8.70	0.46	102.25	307
MQ	7.76	10.52	8.69	0.46	102.14	269
MQ	7.66	10.30	8.69	0.47	99.66	288
MQ	7.89	10.49	8.78	0.46	100.45	268
MQ	7.87	10.71	8.72	0.46	102.27	289
MQ	7.78	10.41	8.72	0.46	102.87	304
MQ	7.76	10.58	8.64	0.46	102.04	303
MQ	7.55	10.16	8.57	0.46	102.49	293
MQ	7.56	10.32	8.73	0.46	101.84	290
MQ	7.93	10.67	8.72	0.47	101.40	296
MQ	7.98	10.71	8.78	0.46	100.50	272
