version	spc	apc
EVM	37	5.31
EVM	39	5.34
EVM	38	5.47
EVM	39	5.33
EVM	38	5.41
EVM	38	5.44
EVM	39	5.27
EVM	38	5.23
EVM	38	5.25
EVM	38	5.23
EVM	38	5.39
EVM	37	5.34
EVM	40	5.52
EVM	40	5.28
EVM	40	5.27
EVM	38	5.31
EVM	38	5.33
EVM	38	5.13
EVM	38	5.09
EVM	41	5.08
EVM	39	5.34
EVM	39	5.23
EVM	38	5.31
EVM	42	5.22
EVM	37	5.31
EVM	38	5.28
EVM	38	5.27
EVM	38	5.16
EVM	38	5.31
EVM	38	5.33
MQ	38	5.58
MQ	38	5.67
MQ	37	5.66
MQ	37	5.66
MQ	38	5.63
MQ	37	5.63
MQ	38	5.55
MQ	38	5.72
MQ	38	5.61
MQ	37	5.66
MQ	38	5.61
MQ	37	5.56
MQ	38	5.61
MQ	38	5.70
MQ	38	5.59
MQ	37	5.59
MQ	38	5.64
MQ	38	5.61
MQ	38	5.66
MQ	38	5.59
MQ	37	5.61
MQ	37	5.63
MQ	37	5.69
MQ	37	5.58
MQ	37	5.58
MQ	38	5.64
MQ	38	5.61
MQ	37	5.58
MQ	37	5.63
MQ	37	5.63
