version	pack	cp	eleg	scp
EVM	617	1.81	1.399230763	368
EVM	596	1.87	1.400485063	337
EVM	601	1.86	1.397306539	342
EVM	609	1.83	1.380095402	355
EVM	601	1.86	1.410406789	344
EVM	617	1.81	1.388242217	377
EVM	601	1.86	1.401767564	341
EVM	616	1.81	1.396022249	368
EVM	601	1.86	1.405936506	352
EVM	596	1.87	1.408812464	335
EVM	606	1.84	1.394961192	355
EVM	606	1.84	1.391474463	346
EVM	604	1.85	1.403071296	348
EVM	605	1.84	1.416432859	362
EVM	604	1.85	1.392120011	348
EVM	606	1.84	1.398895566	349
EVM	609	1.83	1.403048892	351
EVM	609	1.83	1.386352152	355
EVM	613	1.82	1.389882785	363
EVM	608	1.84	1.388889268	358
EVM	607	1.84	1.408812464	356
EVM	608	1.84	1.38863797	356
EVM	609	1.83	1.382818274	356
EVM	601	1.86	1.370738109	345
EVM	600	1.86	1.413896154	357
EVM	605	1.84	1.393969951	352
EVM	605	1.84	1.383113762	351
EVM	594	1.88	1.401152345	342
EVM	613	1.82	1.343376157	355
EVM	607	1.84	1.375600541	351
MQ	385	2.90	1.565190336	6
MQ	384	2.91	1.555499739	13
MQ	394	2.83	1.519857158	6
MQ	393	2.84	1.524390374	9
MQ	390	2.86	1.543102432	5
MQ	393	2.84	1.539426905	8
MQ	397	2.81	1.520807239	7
MQ	387	2.88	1.542739979	3
MQ	397	2.81	1.517520143	11
MQ	394	2.83	1.525764395	4
MQ	396	2.82	1.510797937	6
MQ	385	2.90	1.560689573	7
MQ	391	2.85	1.529873802	4
MQ	386	2.89	1.565032444	5
MQ	396	2.82	1.533393465	7
MQ	389	2.87	1.541939581	5
MQ	386	2.89	1.547214256	6
MQ	378	2.95	1.573151997	9
MQ	394	2.83	1.529286403	5
MQ	392	2.85	1.53124597	8
MQ	386	2.89	1.568311769	5
MQ	392	2.85	1.534943975	16
MQ	390	2.86	1.544264407	8
MQ	385	2.90	1.549482513	7
MQ	390	2.86	1.537676559	6
MQ	389	2.87	1.543722963	7
MQ	395	2.83	1.528503211	7
MQ	384	2.91	1.550871973	4
MQ	390	2.86	1.52476629	6
MQ	389	2.87	1.538868597	3
