version	author	classes	packages
1.9.0	jglick	1	1
1.9.0	jglick	1	1
1.9.0	jglick	2	1
1.9.0	jglick	1	1
1.9.0	jglick	4	1
1.9.0	jglick	1	1
1.9.0	jglick	4	1
1.9.0	antoine	14	1
1.9.0	antoine	6	5
1.9.0	antoine	3	3
1.9.0	bodewig	1	1
1.9.0	antoine	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	antoine	1	1
1.9.0	antoine	2	1
1.9.0	antoine	1	1
1.9.0	antoine	1	1
1.9.0	bodewig	5	2
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	3	2
1.9.0	bodewig	16	2
1.9.0	hibou	3	1
1.9.0	hibou	2	2
1.9.0	hibou	2	1
1.9.0	hibou	2	1
1.9.0	mbenson	89	16
1.9.0	hibou	1	1
1.9.0	hibou	1	1
1.9.0	mbenson	78	16
1.9.0	mbenson	29	5
1.9.0	mbenson	1	1
1.9.0	mbenson	1	1
1.9.0	jglick	1	1
1.9.0	jglick	1	1
1.9.0	hibou	2	2
1.9.0	hibou	2	2
1.9.0	hibou	2	2
1.9.0	bodewig	1	1
1.9.0	jglick	1	1
1.9.0	hibou	1	1
1.9.0	hibou	1	1
1.9.0	hibou	1	1
1.9.0	hibou	4	1
1.9.0	hibou	1	1
1.9.0	jglick	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	1	1
1.9.0	bodewig	8	2
1.9.0	bodewig	7	3
1.9.0	bodewig	11	2
1.9.0	hibou	2	2
1.9.0	bodewig	2	1
1.9.0	bodewig	16	1
1.9.0	bodewig	1	1
1.9.0	jglick	1	1
1.9.0	jglick	1	1
1.9.0	jkf	1	1
1.9.0	jkf	1	1
1.9.0	jkf	135	43
1.8.4	bodewig	1	1
1.8.4	bodewig	1	1
1.8.4	bodewig	1	1
1.8.4	bodewig	1	1
1.8.4	jglick	2	2
1.8.4	jglick	3	2
1.8.4	jglick	79	12
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	1	1
1.8.3	jglick	2	2
1.8.3	jglick	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	3	3
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	jglick	1	1
1.8.3	jglick	2	2
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	2	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	jglick	1	1
1.8.3	bodewig	2	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	2	2
1.8.3	mbenson	1	1
1.8.3	jglick	2	2
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
1.8.3	bodewig	1	1
