version	package	classe	attr	meth	pmeth
1.1.0	com.oreilly.servlet	MailMessage	1	27	10
1.1.0	com.oreilly.servlet	MailPrintStream	1	5	3
1.1.0	org.apache.tools.ant.taskdefs	Ant	1	8	8
1.1.0	org.apache.tools.ant.taskdefs	AntStructure	1	8	3
1.1.0	org.apache.tools.ant.taskdefs	Available	1	10	7
1.1.0	org.apache.tools.ant.taskdefs	Chmod	1	7	6
1.1.0	org.apache.tools.ant.taskdefs	CompileTask	1	4	4
1.1.0	org.apache.tools.ant.taskdefs	Copydir	1	7	6
1.1.0	org.apache.tools.ant.taskdefs	Copyfile	1	5	5
1.1.0	org.apache.tools.ant.taskdefs	Cvs	1	10	10
1.1.0	org.apache.tools.ant.taskdefs	Delete	1	5	5
1.1.0	org.apache.tools.ant.taskdefs	Deltree	1	4	3
1.1.0	org.apache.tools.ant.taskdefs	Echo	1	3	3
1.1.0	org.apache.tools.ant.taskdefs	Exec	2	10	7
1.1.0	org.apache.tools.ant.taskdefs	Exec$StreamPumper	2	3	3
1.1.0	org.apache.tools.ant.taskdefs	Expand	1	4	4
1.1.0	org.apache.tools.ant.taskdefs	Filter	1	4	4
1.1.0	org.apache.tools.ant.taskdefs	FixCRLF	2	8	8
1.1.0	org.apache.tools.ant.taskdefs	FixCRLF$AddAsisRemove	2	2	2
1.1.0	org.apache.tools.ant.taskdefs	GUnzip	1	4	4
1.1.0	org.apache.tools.ant.taskdefs	GZip	1	6	4
1.1.0	org.apache.tools.ant.taskdefs	Get	1	6	6
1.1.0	org.apache.tools.ant.taskdefs	Jar	1	6	3
1.1.0	org.apache.tools.ant.taskdefs	Java	1	13	10
1.1.0	org.apache.tools.ant.taskdefs	Javac	2	24	16
1.1.0	org.apache.tools.ant.taskdefs	Javac$JarFilenameFilter	2	2	1
1.1.0	org.apache.tools.ant.taskdefs	JavacOutputStream	1	4	1
1.1.0	org.apache.tools.ant.taskdefs	Javadoc	2	58	51
1.1.0	org.apache.tools.ant.taskdefs	Javadoc$DocletParam	2	5	5
1.1.0	org.apache.tools.ant.taskdefs	Javadoc$DocletInfo	2	8	8
1.1.0	org.apache.tools.ant.taskdefs	Javadoc$LinkArgument	2	7	7
1.1.0	org.apache.tools.ant.taskdefs	Javadoc$GroupArgument	2	5	5
1.1.0	org.apache.tools.ant.taskdefs	Javadoc$JavaReader	2	4	4
1.1.0	org.apache.tools.ant.taskdefs	Jikes	1	2	0
1.1.0	org.apache.tools.ant.taskdefs	JikesOutputParser	1	7	0
1.1.0	org.apache.tools.ant.taskdefs	KeySubst	1	8	8
1.1.0	org.apache.tools.ant.taskdefs	MatchingTask	2	15	10
1.1.0	org.apache.tools.ant.taskdefs	MatchingTask$NameEntry	2	5	5
1.1.0	org.apache.tools.ant.taskdefs	Mkdir	1	3	3
1.1.0	org.apache.tools.ant.taskdefs	Patch	1	10	10
1.1.0	org.apache.tools.ant.taskdefs	Property	1	15	9
1.1.0	org.apache.tools.ant.taskdefs	Rename	1	5	5
1.1.0	org.apache.tools.ant.taskdefs	Replace	1	8	6
1.1.0	org.apache.tools.ant.taskdefs	Rmic	1	18	11
1.1.0	org.apache.tools.ant.taskdefs	SignJar	1	13	13
1.1.0	org.apache.tools.ant.taskdefs	Tar	1	5	4
1.1.0	org.apache.tools.ant.taskdefs	TaskOutputStream	1	3	1
1.1.0	org.apache.tools.ant.taskdefs	Taskdef	1	6	6
1.1.0	org.apache.tools.ant.taskdefs	Touch	1	8	5
1.1.0	org.apache.tools.ant.taskdefs	Tstamp	1	2	2
1.1.0	org.apache.tools.ant.taskdefs	Untar	1	4	4
1.1.0	org.apache.tools.ant.taskdefs	XSLTLiaison	1	2	2
1.1.0	org.apache.tools.ant.taskdefs	XSLTProcess	1	8	7
1.1.0	org.apache.tools.ant.taskdefs	Zip	1	9	5
1.1.0	org.apache.tools.ant	BuildEvent	1	11	11
1.1.0	org.apache.tools.ant	BuildException	1	10	10
1.1.0	org.apache.tools.ant	BuildListener	1	7	7
1.1.0	org.apache.tools.ant	DefaultLogger	1	10	8
1.1.0	org.apache.tools.ant	DesirableFilter	1	2	2
1.1.0	org.apache.tools.ant	DirectoryScanner	1	20	14
1.1.0	org.apache.tools.ant	EnumeratedAttribute	1	5	5
1.1.0	org.apache.tools.ant	IntrospectionHelper	2	14	9
1.1.0	org.apache.tools.ant	IntrospectionHelper$1	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$2	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$3	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$4	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$5	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$6	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$7	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$8	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$9	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$10	2	2	1
1.1.0	org.apache.tools.ant	IntrospectionHelper$11	2	2	1
